english,transliteration,arabic,audioUrl,source
Modern Standard Arabic,lfúʂɧa,الفُصْحى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-23.mp3,language_2
dialect,láhji,لهْجِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-24.mp3,language_2
colloquial language,3ammíyyi,عامّية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-25.mp3,language_2
Egyptian Arabic,l3árabi lmáʂri,العربي المصْري,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-26.mp3,language_2
Moroccan Arabic,l3árabi lmáɣribi,العربي المغْرِبي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-27.mp3,language_2
Levantine Arabic,l3arabi ššēmi,العربي الشّامي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-28.mp3,language_2
Gulf Arabic,l3arabi lxalīji,العربي الخليجي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-29.mp3,language_2
to learn,"t3állam, yit3állam",تْعلم، يِتْعلّم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-30.mp3,language_2
"practice, exercise",tadrīb,تدْريب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-31.mp3,language_2
"practice, exercise",tamrīn (tamarīn),تمْرين (تمارين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-32.mp3,language_2
to practice,"ddárab 3ála, yiddárrab 3ála",تْدرّب على، يِتْدرّب على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-33.mp3,language_2
to practice,"tmárran 3ála, yitmárran 3ála",تْمرّن على، يِتْمرّن على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-34.mp3,language_2
level,mústawa (mustawayēt),مُسْتَوى (مُسْتوَيات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-35.mp3,language_2
beginner’s,mbállaš,مْبلش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-36.mp3,language_2
intermediate,wásaʈ,وَسط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-37.mp3,language_2
advanced,3āli,عالي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-38.mp3,language_2
writing,kitēbi,كِتابِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-39.mp3,language_2
to write,"kátab, yíktub",كتب، يِكْتُب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-40.mp3,language_2
reading,ʔrāyi,قْراية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-41.mp3,language_2
to read,"ʔára, yíʔra",قرا، يِقْرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-42.mp3,language_2
alphabet,liɧrūf ilʔabjadíyyi,الِحْروف الابْجدية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-43.mp3,language_2
letter,ɧárif (ɧrūf),حرِف (حْروف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-44.mp3,language_2
Chinese characters,liɧrūf iʂʂīníyyi,الِحْروف الصّينية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-45.mp3,language_2
to spell,"hájja, yhájji",هجى، يِهجي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-46.mp3,language_2
spelling,ɧijēʔ,هِجاء,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-47.mp3,language_2
"handwriting, penmanship",xaʈʈ,خطّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-48.mp3,language_2
I have such bad penmanship.,ána xáʈʈi bíši3.,أنا خطّي بِشِع.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-49.mp3,language_2
is legible,byinʔára,بْيِنْقرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-50.mp3,language_2
is illegible,mā byinʔára,ما بْيِنْقرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-51.mp3,language_2
His handwriting is completely illegible.,xáʈʈu mā byinʔára ábadan.,خطُّه ما بْيِنْقرا أبداً.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-52.mp3,language_2
calligraphy,fann irrásim b-ilxaʈʈ,فنّ الرّسِم بِالخطّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-53.mp3,language_2
"speaking, speech",ɧáki,حكي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-54.mp3,language_2
I need to practice speaking more.,ána lēzim itmárran 3a-lɧáki áktar.,أنا لازِم إتْمرّن عالحكي أكْتر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-55.mp3,language_2
You can’t understand anything he says.,mā btíʔdir tífham ɧákyu.,ما بْتِقْدِر تِفْهم حكْيو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-56.mp3,language_2
to speak,ɧíki [55],حِكي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-57.mp3,language_2
Can you speak Arabic?,btá3rif tíɧki 3árabi?,بْتعْرِف تِحْكي عربي؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-58.mp3,language_2
I know a few words.,bá3rif kam kílmi.,بعْرِف كم كِلْمِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-59.mp3,language_2
I know some basic Arabic.,bá3rif ášya basīʈa b-il3árabi.,بعْرِف أشْيا بسيطة بِالعربي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-60.mp3,language_2
I can speak a little Arabic.,bá3rif íɧki 3árabi šwayy.,بعْرِف اِحْكي عربي شْوَيّ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-61.mp3,language_2
I can get by in Arabic.,bmárriʔ ɧāli b-il3árabi.,بْمرِّق حالي بِالعربي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-62.mp3,language_2
I speak Arabic pretty well.,bíɧki 3árabi mnīɧ.,بِحْكي عربي مْنيِح.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-63.mp3,language_2
broken Arabic,3árabi mkássar,عربي مْكسّر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-64.mp3,language_2
fluently,b-ʈalāʔa,بْطلاقة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-65.mp3,language_2
I am fluent in Arabic.,ána ʈíliʔ b i-l3árabi.,أنا طِلِق بِالعربي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-66.mp3,language_2
pronunciation,nuʈuʔ,نُطُق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-67.mp3,language_2
pronunciation,láfiʐ,لفِظ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-68.mp3,language_2
to pronounce,"láfaʐ, yílfuʐ",لفظ ، يِلْفُظ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-69.mp3,language_2
How do you pronounce this word?,kīf btínʈuʔ ha-lkílmi?,كيف بْتِنْطُق هالكِلْمِة؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-70.mp3,language_2
Your Arabic pronunciation is quite good.,btílfuʐ 3árabi ktīr mnīɧ.,بْتِلْفُظ عربي كْتير مْنيح.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-71.mp3,language_2
I need to work on my listening skills in Arabic.,lēzim ištíɣil 3ála tamārīn issamā3 b-il3árabi.,لازِم اِشْتِغِل على تمارين السّماع بِالعربي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-73.mp3,language_2
listening,smā3,سْماع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-72.mp3,language_2
to listen to,"sími3, yísma3",سِمِع، يِسْمع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-74.mp3,language_2
vocabulary,mufradēt,مُفْردات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-75.mp3,language_2
word,kílmi (kalimēt),كِلْمِة (كلِمات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-76.mp3,language_2
dictionary,ʔāmūs (ʔawamīs),قاموس (قواميس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-77.mp3,language_2
to look up a word in the dictionary,dáwwar [9] 3ála kílmi min ilʔāmūs,دوِّر على كِلْمِة مِن القاموس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-78.mp3,language_2
flashcard,biʈāʔit istiskār,بِطاقِة اِسْتِذْكار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-79.mp3,language_2
to repeat,"3ād, y3īd",عاد، يْعيد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-80.mp3,language_2
grammar,náɧu,نحو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-82.mp3,language_2
repetition,i3ādi,إعادِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-81.mp3,language_2
grammatical,náɧawi,نَحَوي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-83.mp3,language_2
grammatical rule,qā3di naɧawíyyi (qawā3id naɧawíyyi),قاعْدِة نَحَوية (قَواعِد نَحَوية),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-84.mp3,language_2
"inflection, conjugation, declension",taʂrīf,تصْريف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-86.mp3,language_2
"to inflect, conjugate, decline","ʂárraf, yʂárrif",صرّف، يْصرِّف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-85.mp3,language_2
prefix,ɧárif b-ʔáwwal ilkílmi,حرِف بْأوَّل الكِلمِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-88.mp3,language_2
suffix,ɧárif b-ʔēxir ilkílmi,حرِف بْآخِر الكِلْمِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-87.mp3,language_2
case,ɧāli,حالِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-89.mp3,language_2
tense,záman (azmēn),زمن (أزْمان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-90.mp3,language_2
gender,jínis (ajnēs),جِنِس (أجْناس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-91.mp3,language_2
singular,múfrad,مُفْرد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-92.mp3,language_2
dual,muŧánna,مُثنّى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-93.mp3,language_2
plural,jámi3,جمِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-94.mp3,language_2
feminine,muʔánnaŧ,مُؤنّث,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-96.mp3,language_2
masculine,muđákkar,مُذكّر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-95.mp3,language_2
neuter,muɧāyid,مُحايِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-97.mp3,language_2
the present tense,záman ilmuɖāri3,زمن المُضارِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-98.mp3,language_2
the future tense,záman ilmustáʔbal,زمن المُسْتقْبل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-100.mp3,language_2
the past tense,záman ilmāɖi,زمن الماضي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-99.mp3,language_2
article,adēt ta3rīf,أداة تعْريف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-101.mp3,language_2
preposition,ɧárif jarr,حرِف جرّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-102.mp3,language_2
noun,ísim (asmēʔ),اِسِم (أسْماء),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-103.mp3,language_2
verb,fí3il (af3āl),فِعِل (أفْعال),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-104.mp3,language_2
adjective,ʂífa,صِفة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-105.mp3,language_2
adverb,ʐárif (ʐurūf),ظرِف (ظُروف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-106.mp3,language_2
subject,fā3il,فاعِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-107.mp3,language_2
object,maf3ūl bíhi,مفْعول بِهِ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-108.mp3,language_2
definite,mɧáddad,مْحدّد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-109.mp3,language_2
indefinite,ɣēr mɧáddad,غيْر مْحدّد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-110.mp3,language_2
sentence,jímli (jímal),جِمْلِة (جِمل),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-112.mp3,language_2
word order,tartīb ilkalimēt,ترْتيب الكلِمات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-111.mp3,language_2
paragraph,fáqara,فقرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-113.mp3,language_2
vowel,ɧárif mutaɧárrik,حرِف مُتحرِّك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-114.mp3,language_2
consonant,ɧárif sēkin,حرِف ساكِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-115.mp3,language_2
syllable,máʔʈa3,مقْطع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-116.mp3,language_2
punctuation,tarʔīm,ترْقيم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-117.mp3,language_2
punctuation mark,3alēmit tarʔīm,علامِة ترْقيم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-118.mp3,language_2
period,núʔʈa (núʔaʈ),نُقْطة (نُقط),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-119.mp3,language_2
comma,fāʂli,فاصْلِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-120.mp3,language_2
exclamation mark,3alēmit ta3ájjub,علامِة تعجُّب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-121.mp3,language_2
question mark,3alēmit istifhēm,علامِة اِسْتِفْهام,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-122.mp3,language_2
quotation marks,faʂiltēn [dual],فصِلْتيْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-123.mp3,language_2
colon,nuʔuʈtēn [dual],نُقُطْتيْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-124.mp3,language_2
"parenthesis, bracket",ʔūs (aʔwēs),قوس (أقْواس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-125.mp3,language_2
(a pair of) parentheses,ʔawsēn [dual],قَوْسيْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-126.mp3,language_2
life,ɧayāt,حَياة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-1.mp3,life_and_death_2
to live,"3āš, y3īš",عاش، يْعيش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-2.mp3,life_and_death_2
"I live in Beirut, the capital of Lebanon.",ána 3āyiš b-bērūt 3āʂmit libnēn.,أنا عايِش بْبيْروت عاصْمِة لِبْنان.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-3.mp3,life_and_death_2
alive,3āyiš,عايِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-4.mp3,life_and_death_2
to be born,"wílid, yūlad",وِلِد، يولد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-5.mp3,life_and_death_2
to be born,"xíliʔ, yíxlaʔ",خِلِق، يِخْلق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-6.mp3,life_and_death_2
birth,wilēdi,وِلادِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-7.mp3,life_and_death_2
"baby, infant",raɖī3,رضيع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-8.mp3,life_and_death_2
"to be breastfed, suckle","rúɖi3, yúrɖa3",رُضِع، يُرْضع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-9.mp3,life_and_death_2
to breastfeed,"ráɖɖa3it, tráɖɖi3 [f.]",رضّعِت، تْرضِّع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-10.mp3,life_and_death_2
diaper,ɧfāɖ,حْفاض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-11.mp3,life_and_death_2
diaper,ɧafāɖa,حفاضة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-12.mp3,life_and_death_2
child (0-17 years old),wálad (wlēd),وَلد (وْلاد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-13.mp3,life_and_death_2
well-behaved,mházzab,مْهزّب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-14.mp3,life_and_death_2
"naughty, mischievous",šáʔi,شقي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-15.mp3,life_and_death_2
"childish, immature",mwáldan,مْوَلْدن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-16.mp3,life_and_death_2
mature(-acting),wē3i,واعي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-17.mp3,life_and_death_2
boy,ʂábi (ʂubyēn),صبي (صُبْيان ),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-18.mp3,life_and_death_2
girl,bínit (banēt),بِنِت (بنات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-19.mp3,life_and_death_2
"adolescent, teenager",murāhiq,مُراهِق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-20.mp3,life_and_death_2
to grow up,"kíbir, yíkbar",كِبِر، يِكْبر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-21.mp3,life_and_death_2
person,šáxuʂ (ašxāʂ),شخُص (أشْخاص),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-22.mp3,life_and_death_2
people,nēs [pl.],ناس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-23.mp3,life_and_death_2
young man,šēb (šabēb),شابّ (شباب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-24.mp3,life_and_death_2
young woman,ʂabíyyi (ʂabāya),صبية (صبايا),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-25.mp3,life_and_death_2
man,rijjēl (rjēl),رِجّال (رْجال),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-26.mp3,life_and_death_2
woman,mára (niswēn),مرا (نِسْوان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-27.mp3,life_and_death_2
adult,rāšid,راشِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-28.mp3,life_and_death_2
adult,wē3i,واعي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-29.mp3,life_and_death_2
"adults, grown-ups",kbār [pl.],كْبار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-30.mp3,life_and_death_2
"adults, grown-ups",wē3yīn [pl.],واعْيين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-31.mp3,life_and_death_2
"young people, youth",šabēb [pl.],شباب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-32.mp3,life_and_death_2
young,ʂɣīr (ʂɣār),صْغير (صْغار),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-33.mp3,life_and_death_2
in one’s fifties,b-3úmur ilxamsīnēt,بْعُمُر الخمْسينات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-34.mp3,life_and_death_2
middle-aged,b-nuʂʂ 3úmru,بْنُصّ عُمْرو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-35.mp3,life_and_death_2
[person] old(1),xityār,خِتْيار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-36.mp3,life_and_death_2
[person] old,3ajūz,عجوز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-37.mp3,life_and_death_2
old man,rijjēl xityār,رِجّال خِتْيار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-38.mp3,life_and_death_2
old woman,xityāra,خِتْيارة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-39.mp3,life_and_death_2
"to age, grow old","xátyar, yxátyir",ختْيَر، يْختْيِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-40.mp3,life_and_death_2
"to age, grow old","3ájjaz, y3ájjiz",عجّز، يْعجِّز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-41.mp3,life_and_death_2
Everyone gets old.,lkill bi3ájjiz.,الكِلّ بيعجِّز.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-42.mp3,life_and_death_2
childhood,ʈufūli,طُفولِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-43.mp3,life_and_death_2
in one’s childhood,b-ʈufūltu,بْطُفولْتو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-44.mp3,life_and_death_2
adolescence,murāhaqa,مُراهقة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-45.mp3,life_and_death_2
in one’s youth,b-šabēbu,بْشبابو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-46.mp3,life_and_death_2
old age,3úmur kbīr,عُمُر كْبير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-47.mp3,life_and_death_2
birthday,3īd mīlēd,عيد ميلاد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-48.mp3,life_and_death_2
Happy Birthday! - Thank you!,kill síni u ínta b-xēr! - u ínta b-xēr!,كِلّ سِنِة وإنْتَ بْخيْر! - وإنْتَ بْخيْر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-49.mp3,life_and_death_2
Happy Birthday! - Thank you!,mīlēd sa3īd! - šúkran!,ميلاد سعيد!- شُكْراً,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-50.mp3,life_and_death_2
Happy birthday and may you have many more!,kill síni u ínta b-xēr u 3aʔbēl ilmīt síni u nšālla yin3ād 3alēk.,كِلّ سِنِة وإنْتَ بْخيْر وعقْبال المية سِنِة وإنْشالله يِنْعاد عليْك.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-51.mp3,life_and_death_2
When is your birthday?,ēmata yōm mīlēdak?,أيْمتى يوْم ميلادك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-52.mp3,life_and_death_2
My birthday is in May.,3īd mīlēdi b-ʔayyār.,عيد ميلادي بْأيّار.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-53.mp3,life_and_death_2
age,3úmur,عُمُر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-54.mp3,life_and_death_2
life span,ʈūl il3úmur,طول العُمُر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-55.mp3,life_and_death_2
all one’s life,kill ɧayātu,كِلّ حَياتو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-56.mp3,life_and_death_2
How old are you?,ʔaddē 3umrak?,قدّيْ عُمْرك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-57.mp3,life_and_death_2
I’m 20 years old.,3úmri 3išrīn.,عُمْري عِشْرين.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-58.mp3,life_and_death_2
to turn __ years old,ʂār [55] __ síni,صار __ سِنِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-59.mp3,life_and_death_2
He’s turning twenty next week.,laɧ yʂīr 3úmru 3išrīn síni lʔusbū3 ijjēyi.,لح يْصير عُمْرو عِشْرين سِنِة الأُسْبوع الجّايِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-60.mp3,life_and_death_2
a fifty-year-old woman,mára 3úmra xamsīn,مرا عُمْرا خمْسين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-61.mp3,life_and_death_2
When were you born?,ēmata xlíʔit?,أيْمتى خْلِقِت؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-62.mp3,life_and_death_2
When were you born?,ēmata wlídit?,أيْمتى وْلِدِت؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-63.mp3,life_and_death_2
I was born in 1980.,xlíʔit b-isínt alf u tisi3míyyi u tmēnīn.,خْلِقِت بْسِنْة ألْف وتِسِعْمية وتْمانين.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-64.mp3,life_and_death_2
"death, passing",mōt,موْت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-65.mp3,life_and_death_2
"dead, deceased",máyyit (amwēt),ميِّت (أمْوات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-66.mp3,life_and_death_2
to die,"mēt, ymūt",مات، يْموت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-67.mp3,life_and_death_2
to pass away,"twáffa, yítwaffa",تْوَفّى، يِتْوَفّى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-68.mp3,life_and_death_2
to pass away,xíliʂ [55] 3úmru,خِلِص عُمْرو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-69.mp3,life_and_death_2
"corpse, body",jísi (jísas),جِثِة (جِثث),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-70.mp3,life_and_death_2
funeral,jnēzi,جْنازِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-71.mp3,life_and_death_2
to bury,"dáfan, yídfun",دفن، يِدْفُن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-72.mp3,life_and_death_2
coffin,tēbūt (tawābīt),تابوت (تَوابيت),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-73.mp3,life_and_death_2
cemetary,máʔbara (maʔābir),مقْبرة (مقابِر),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-74.mp3,life_and_death_2
grave; burial,ʔábur (ʔbūr),قبُر (قْبور),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-75.mp3,life_and_death_2
"gravestone, headstone",šēhid (šawēhid),شاهِد (شَواهِد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-76.mp3,life_and_death_2
to mourn,"ɧízin, yíɧzan",حِزِن، يِحْزن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-77.mp3,life_and_death_2
mourning,ɧiznēn,حِزْنان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-78.mp3,life_and_death_2
period of mourning,ayyēm ittá3ziyyi,أيّام التّعْزية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-79.mp3,life_and_death_2
"number, numeral",ráʔim/ráʔam (arʔām),رقم (أرْقام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-1.mp3,numbers_2
number (quantity),3ádad (a3dād),عدد (أعْداد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-2.mp3,numbers_2
to count,"3add, y3idd",عدّ، يْعِدّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-3.mp3,numbers_2
odd,mífrid,مِفْرِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-4.mp3,numbers_2
even,mízwij,مِزْوِج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav48-5.mp3,numbers_2
